,poem,prediction
0,poem/alas-tis-true-i-have-gone-here-and-there-sonnet-110,1
1,43742/sonnets-from-the-portuguese-43-how-do-i-love-thee-let-me-count-the-ways,1
2,43749/cleon,0
3,45016/the-house-of-life-73-the-choice-iii,1
4,54847/book-1-epigram-34-ad-thomam-freake-armig-de-veris-adventu-,0
5,44648/the-skeleton-in-armor,1
6,51640/my-house-is-the-red-earth,1
7,44986/january-1795,1
8,40750/to-my-fathers-business,0
9,poem/had-vines-budded-were-pomegranates-bloom,0
10,45657/when-i-was-fair-and-young,1
11,53817/the-consent,0
12,58231/sea-salt,0
13,42840/the-rescue-56d2217b24ec4,0
14,poem/descent-composer,0
15,47330/his-wish-to-god,1
16,42703/in-the-kingdom-of-pleasure,0
17,poem/twerk-villanelle,1
18,56222/sonnet-123-no-time-thou-shalt-not-boast-that-i-do-change,1
0,54854/book-3-epigram-36,0
1,54119/the-bench,0
2,52299/nuns-fret-not-at-their-convents-narrow-room,1
3,poem/troilus-and-cressida-act-iii-scene-iii-time-hath-my-lord,1
4,poem/delirium,0
5,56133/red-ghazal,0
6,45566/yarrow-revisited,1
7,50667/to-fool-or-knave,1
8,13535/break-of-day-in-the-trenches,1
9,56748/black-swan-56d239890b204,0
10,52017/fog-56d230296edf1,0
11,46481/a-blessing,1
12,43999/work-without-hope,1
13,poem/oh-oh-you-will-be-sorry-word,1
14,48631/dream-land-56d22a06bce76,1
15,58304/things-no-longer-there,1
16,43755/fra-lippo-lippi,1
17,53773/towns-in-colour,0
18,48443/venetian-coda,0
0,50846/the-academic-sigh,0
1,44105/holy-sonnets-at-the-round-earths-imagind-corners-blow,1
2,44684/the-mower,1
3,poem/september-elegies,0
4,37495/edward-hoppers-new-york-movie,0
5,52874/drifting-at-midday,0
6,poem/meeting-and-passing,1
7,46316/a-poem-beginning-with-a-line-by-pindar,0
8,poem/season-hell-delirium-i,0
9,poem/marriage-0,0
10,57341/i-looked-up-from-my-writing,1
11,90180/rosa-parks,1
12,30539/his-suicide,0
13,45500/muier,1
14,47353/gloire-de-dijon,1
15,145485/agnus-dei,0
16,poem/putting-seed,1
17,poem/those-lips-loves-own-hand-did-make-sonnet-145,1
18,42989/penumbra,0
0,45745/paradise-lost-book-9-1674-version,1
1,poem/so-are-you-my-thoughts-food-life-sonnet-75,1
2,poem/those-parts-thee-worlds-eye-doth-view-sonnet-69,1
3,42946/the-pope-replies-to-the-ayatollah-khomeini,0
4,poem/othello-act-i-scene-i-o-sir-content-you,0
5,56577/gazelle-lost-in-watts,0
6,poem/sonnet-vi,0
7,12543/subway-seethe,0
8,poem/modern-love-xxxviii,0
9,48334/damon-the-mower,1
10,49304/sunflower-sutra,1
11,45128/lines-written-in-the-bay-of-lerici,0
12,58025/it-is-with-words-as-it-is-with-people,0
13,44678/the-character-of-holland,0
14,45542/the-prelude-book-1-childhood-and-school-time,0
15,44496/prayer-of-a-soldier-in-france,1
16,58867/larry-levan-snake,0
17,56757/ocean-park-17-1968-homage-to-diebenkorn,0
18,poem/aubade-nocturne,0
0,poem/i-come-weary,0
1,poem/guadalajara-cemetery,0
2,57160/but-this-is-ambiguous,0
3,poem/gitanjali-16,1
4,poem/moving-day-0,0
5,57044/the-grauballe-man,1
6,42707/the-author-to-his-body-on-their-fifteenth-birthday-29-ii-80,0
7,poem/one-moment-touching-all-others,0
8,poem/thou-art-tyrannous-so-thou-art-sonnet-131,1
9,poem/or-whether-doth-my-mind-being-crownd-you-sonnet-114,1
10,poem/haunted-sonnet,0
11,44111/holy-sonnets-since-she-whom-i-lovd-hath-paid-her-last-debt,1
12,57048/little-exercise-56d23a2603ae7,0
13,55677/the-sonnets-i,0
14,57808/on-immigration,0
15,poem/love-poem-attempt-3,0
16,50693/the-boys-answer-to-the-blackmoor,0
17,46204/the-ballad-of-othello-clemence,0
18,142884/midnight-flame,0
0,poem/say-over-again-sonnet-21,1
1,47777/the-slow-pacific-swell,0
2,45272/verses-on-the-death-of-dr-swift-dspd,0
3,46066/one-girl-of-many,0
4,161143/villanelle-with-a-line-borrowed-from-bishop,0
5,43003/you-andrew-marvell,0
6,44628/the-childrens-hour-56d223ca55069,1
7,58661/we-who-weave,0
8,poem/ode-dictionaries,0
9,42641/the-true-blue-american,1
10,46574/darwins-bestiary,0
11,poem/true-poem,0
12,43918/shakesperian-readings,0
13,poem/sappho,0
14,47602/the-pit,0
15,poem/mexican-american-sonnet,0
16,45985/a-ballad-of-baseball-burdens,1
17,51874/randall-jarrell,0
18,43205/for-louis-pasteur,0
19,44192/song-you-charmd-me-not-with-that-fair-face,0
0,40812/your-clothes,1
1,45473/a-noiseless-patient-spider,1
2,42791/vuillard-the-mother-and-sister-of-the-artist,0
3,poem/sestina,0
4,44455/on-my-first-son,1
5,46994/confession-in-a-booth-at-the-hollow-log-lounge,0
6,45568/yarrow-unvisited,1
7,145163/i-am-dark-i-am-forest,0
8,poem/theocritus,1
9,51936/change-56d230061b356,0
10,52454/a-january-dandelion,1
11,46573/three-haiku-two-tanka,0
12,51486/affairs,0
13,42525/everything-that-acts-is-actual,0
14,51261/letter-to-gary-bottone,0
15,42686/flower-herding-on-mount-monadnock,0
16,poem/american-rome,0
17,57291/joining-the-colours,1
18,49443/glow-flesh,0
19,57042/clearances,0
0,42661/to-the-harbormaster,1
1,43205/for-louis-pasteur,0
2,151513/the-world-keeps-ending-and-the-world-goes-on,0
3,161990/the-bats-arrived,0
4,poem/if-dull-substance-my-flesh-were-thought-sonnet-44,1
5,12678/the-poet,1
6,13213/aliens,1
7,29874/some-last-questions,0
8,poem/bed-wall,0
9,14575/anecdote-of-the-jar,1
10,poem/ode-confederate-dead,1
11,poem/recollections-my-christmas-tree,0
12,144387/new-mutiny-59bc022767932,0
13,43786/upon-the-disobedient-child,0
14,47927/leda-56d228c3a5948,1
15,49586/i-am-visited-by-an-editor-and-a-poet,0
16,51291/dont-let-me-be-lonely-there-is-a-button-on-the-remote-control-called-fav,0
17,poem/not-stars-do-i-my-judgment-pluck-sonnet-14,1
18,poem/ulysses-excerpt,0
19,43972/constancy-to-an-ideal-object,1
0,55910/charleston,1
1,29778/the-window-56d2134a5739a,1
2,poem/arthurs-anthology-english-poetry,0
3,43760/the-laboratory,1
4,44651/the-tide-rises-the-tide-falls,1
5,44580/piano,1
6,47122/raking-near-the-great-works,0
7,poem/genesis-0,0
8,46333/sugar-cane,1
9,poem/heriwhat-day,0
10,57117/contact,0
11,poem/there-will-be-no-funeral,0
12,poem/moving,0
13,44889/to-ulalume-a-ballad,1
14,52765/roses,0
15,45877/each-and-all,1
16,44361/easter-wings,1
17,45297/in-memory-of-walter-savage-landor,0
18,52910/under-the-dome,0
19,poem/stereo,0
0,43486/ash-wednesday-56d2223ce87ac,0
1,49457/encounter-56d22b901521b,1
2,46468/flaxman,1
3,poem/when-i-consider-every-thing-grows-sonnet-15,1
4,poem/gitanjali-19,1
5,49569/a-340-dollar-horse-and-a-hundred-dollar-whore,1
6,42231/suburban-pastoral,0
7,42565/the-starry-night,0
8,57683/sonnet-if-i-were-fire-id-burn-the-world-away,1
9,poem/cast-iron-ghazal,0
10,43687/the-tyger,1
11,poem/singing-funeral,0
12,55171/fabrication-of-ancestors-56d236711a0e8,0
13,poem/poetry-screaming-madwoman,0
14,47283/the-bad-season-makes-the-poet-sad,1
15,poem/all-about-you,0
16,44875/thoughts-56d22421f10fc,0
17,45188/amoretti-lxxiv-most-happy-letters,1
18,poem/not-mine-own-fears-nor-prophetic-soul-sonnet-107,1
0,poem/black-love,0
1,44190/to-the-pious-memory-of-the-accomplished-young-lady-mrs-anne-killigrew,1
2,43953/to-john-clare,0
3,56088/dolphins-at-seven-weeks,0
4,43002/ancestral-56d221ab80987,0
5,43950/the-skylark,0
6,poem/even-black-guys-profile-reads-sorry-no-black-guys,0
7,47774/the-moralists,0
8,47568/on-the-western-front,1
9,poem/sonnet-salvadore,0
10,44462/an-ode-to-himself,1
11,poem/when-disgrace-fortune-and-mens-eyes-sonnet-29,1
12,43171/a-visit-from-st-nicholas,1
13,44469/endymion-56d2239287ca5,1
14,poem/o-you-were-yourself-love-you-are-sonnet-13,1
15,poem/dusk,0
16,45722/surgeons-must-be-very-careful-156,1
17,44056/the-flaming-heart,1
18,46058/the-housewife-56d225d31d71a,1
0,45480/when-lilacs-last-in-the-dooryard-bloomd,1
1,56223/sonnet-121-tis-better-to-be-vile-than-vile-esteemed,1
2,57343/soldier-poet,0
3,54492/grave,0
4,47375/in-memory-of-a-child,0
5,34231/the-boarding,0
6,47111/time-to-kill,0
7,poem/no-room-form,0
8,56298/self-help-56d238ab5d3b7,1
9,42862/dont-let-that-horse-,1
10,53814/the-investment-banker,0
11,49342/hymn-56d22b563a15b,1
12,46871/how-to-enter-a-big-city,0
13,13075/the-dead,1
14,118567/from-interruptive,0
15,46460/frederick-douglass,1
16,44108/holy-sonnets-i-am-a-little-world-made-cunningly,1
17,47377/what-the-sexton-said,0
18,43697/the-author-to-her-book,1
0,47245/the-cambridge-ladies-who-live-in-furnished-souls,1
1,12725/what-the-rattlesnake-said,1
2,poem/some-say-thy-fault-youth-some-wantonness-sonnet-96,1
3,58776/spirit-animal,0
4,poem/th-expense-spirit-waste-shame-sonnet-129,1
5,48601/yellow-glove,0
6,41505/silent-film,0
7,poem/balance-0,0
8,48625/sonnet-to-science,1
9,56955/from-drift,0
10,58875/decoy-gang-war-victim,0
11,143507/his-and-hers,0
12,45275/ave-atque-vale-56d224b50fa53,0
13,32772/pig-song,0
14,poem/childs-mole,0
15,54063/geburt-des-monicakinds,0
16,poem/john-marr-and-other-sailors,0
17,45556/sonnets-from-the-river-duddon-after-thought,1
18,poem/bird-song,1
0,44191/veni-creator-spiritus,1
1,poem/full-many-glorious-morning-have-i-seen-sonnet-33,1
2,150929/little-albert-1920,0
3,42870/autobiography-56d221842ab9d,1
4,45578/i-abide-and-abide-and-better-abide,1
5,55769/artless,0
6,47890/writing-is-an-aid-to-memory-17,0
7,32308/to-d-dead-by-her-own-hand,0
8,51052/the-end-of-the-world-56d22e8c3b43d,0
9,45925/washington-mcneely,0
10,54266/mystery-and-solitude-in-topeka,0
11,49305/america-56d22b41f119f,0
12,57869/why-brownlee-left,1
13,146500/i-move-through-london-like-a-hotep,0
14,poem/800-days-libation,0
15,58509/ways-of-rebelling,0
16,44910/the-rape-of-the-lock-canto-5,1
17,58049/this-is-a-test,0
18,poem/triad-0,0
0,44712/modern-love-l,1
1,161996/the-loophole-of-retreat-or-the-love-below-as-above,0
2,poem/elsa-involved-clandestine-love-affair,0
3,poem/sonnet-2,0
4,53769/the-matrix-56d23360e71fe,0
5,45161/astrophil-and-stella-41-having-this-day-my-horse-my-hand-my-lance-,1
6,46588/covers,0
7,poem/pacific-trash-vortex,0
8,46397/image-of-the-engine,0
9,54655/the-land-of-nod-56d23541314b1,0
10,150043/letter-to-my-blackout,0
11,54269/the-mysterious-arrival-of-an-unusual-letter,0
12,45100/sonnet-94-they-that-have-power-to-hurt-and-will-do-none,1
13,poem/history,1
14,49045/portrait-56d22ac5ef71b,0
15,poem/ballad-children-czar,1
16,43390/that-evening-at-dinner,0
17,42673/poem-at-night-chinamen-jump,1
18,43320/the-ballad-of-rudolph-reed,0
0,54858/book-6-epigram-17-in-sextum-,0
1,poem/outcast,1
2,56385/dodging-1985,0
3,57586/on-earth-were-briefly-gorgeous,1
4,poem/poem-3,0
5,161138/convergence-64f94a6e07ffa,0
6,poem/ode-my-episiotomy,0
7,poem/decrepit-father-takes-delight-sonnet-37,1
8,55563/you-part-i,0
9,poem/batter-my-heart-transgenderd-god,1
10,45723/theres-a-certain-slant-of-light-320,1
11,poem/if-my-dear-love-were-child-state-sonnet-124,1
12,48984/the-quaker-graveyard-in-nantucket,0
13,poem/ghazal-iv,0
14,poem/batter-my-heart-three-persond-god-holy-sonnet-14,1
15,48647/counselors,0
16,49606/early-december-in-croton-on-hudson,1
17,54659/the-one-turn-that-makes-the-new-world,0
18,46660/the-father-of-my-country,0
0,47734/lying-in-a-hammock-at-william-duffys-farm-in-pine-island-minnesota,1
1,poem/hearing-your-words-and-not-word-among-them-sonnet-xxxvi,1
2,144369/in-the-kitchen-59bc02224ce1e,0
3,57135/1-800-fear,0
4,51396/psychoanalysis-an-elegy,0
5,49544/ophelias-technicolor-g-string-an-urban-mythology,0
6,poem/hap,1
7,144386/crisis-actor-59bc02272653c,0
8,poem/goyas-mired-men-fighting-cudgels,0
9,42340/yellow-dress,0
10,poem/consequences-heavy-heart,0
11,44301/ode-on-a-distant-prospect-of-eton-college,1
12,45380/the-princess-now-sleeps-the-crimson-petal,1
13,52019/the-lights-of-london,0
14,poem/portrait-nightshade-and-delayed-translation,0
15,48326/the-gallery,0
16,43738/sonnets-from-the-portuguese-22-when-our-two-souls-stand-up-erect-and-strong,0
17,45281/the-complaint-of-lisa,1
18,52182/linnaeus-in-lapland,0
0,56004/ode-to-the-belt-sander-this-cocobolo-sapwood,0
1,52795/ode-for-the-american-dead-in-asia,0
2,40937/the-answering-machine-56d21ee37d0ad,0
3,poem/gitanjali-12,1
4,45703/i-heard-a-fly-buzz-when-i-died-591,1
5,53867/a-ride-in-the-rain,0
6,54500/female-masculinity,0
7,57212/absolution,1
8,40220/at-the-poetry-reading,0
9,151498/might-have-been-july-might-have-been-december,0
10,145169/the-ground,0
11,poem/lines-written-during-my-second-pandemic,0
12,50169/duncan,0
13,41777/reverie-in-open-air,1
14,57350/sonnet-9-on-returning-to-the-front-after-leave,0
15,44275/the-tuft-of-flowers,1
16,57346/s-i-w,1
17,54270/futility-in-key-west,0
18,44125/satire-iii,1
0,41893/a-book-on-a-shelf,0
1,poem/languages,1
2,42704/the-icehouse-in-summer,0
3,45118/england-in-1819,1
4,49285/on-reading-crowds-and-power,0
5,poem/dreams-1,0
6,poem/exhibition,0
7,44394/felix-randal,1
8,47016/bees-and-morning-glories,0
9,poem/sonnet-7,0
10,44366/love-ii,1
11,43114/song-of-three-smiles,0
12,44750/sonnet-19-when-i-consider-how-my-light-is-spent,1
13,poem/two-sonnets-xxxiii,0
14,45475/on-the-beach-at-night,1
15,poem/flood-1,1
16,43774/protus,0
17,47201/waking-from-sleep,1
18,poem/elegy-gopher,0
0,55809/from-five-poems,0
1,poem/american-sonnet-my-past-and-future-assassin-when-james-baldwin-audre-lorde-each-lend,0
2,54703/photo-of-melville-back-room-old-bookstore,0
3,23757/fable-of-the-ant-and-the-word,0
4,51971/roll-on-sad-world-not-mercury-or-mars,0
5,57663/derecho-ghazal,0
6,44682/the-garden-56d223dec2ced,1
7,45313/the-babys-dance,1
8,43809/it-was-a-for-our-rightful-king,1
9,poem/middle-distance,0
10,poem/death-sir-erasmus-philips,0
11,43909/the-hunting-of-the-snark,1
12,44453/an-epitaph-on-sp,0
13,poem/oye-apartment-building-ode,0
14,42466/more-than-enough,1
15,57840/monarchy,0
16,48189/sheltered-garden,1
17,43189/song-of-the-witches-double-double-toil-and-trouble,1
18,47600/a-dialogue-between-caliban-and-ariel,0
19,39820/twelfth-birthday,0
0,poem/caprice-0,0
1,54661/bird-left-behind,0
2,47442/you-say-columbus-with-his-argosies,0
3,58150/beatitudes-visuales-mexicanas,0
4,146502/alternating-lunes,0
5,poem/charles-baudelaire-and-i-meet-oval-garden,0
6,44699/juggling-jerry,1
7,45549/she-dwelt-among-the-untrodden-ways,1
8,44175/song-calm-was-the-even-and-clear-was-the-sky,0
9,poem/gitanjali-13,1
10,47289/his-return-to-london,0
11,41512/memorial-service,0
12,47957/anchored-to-the-infinite,1
13,poem/elegy-my-husband,0
14,48909/ode-56d22a86c8d74,1
15,40293/drizzle,0
16,58368/equestrian-monuments-a-litany,0
17,poem/waking,1
18,poem/other-two-slight-air-and-purging-fire-sonnet-45,1
19,45102/sonnet-106-when-in-the-chronicle-of-wasted-time,1
0,44751/sonnet-10-lawrence-of-virtuous-father-virtuous-son,1
1,45488/my-triumph,1
2,45499/dedication-for-a-plot-of-ground,1
3,45553/a-slumber-did-my-spirit-seal,1
4,poem/same-and-other,0
5,49204/whoever-you-are-holding-me-now-in-hand,1
6,40690/sloth,0
7,52335/to-a-deaf-and-dumb-little-girl,0
8,47790/the-circle-game,1
9,49150/emily-hardcastle-spinster,0
10,56458/the-mushroom-is-the-elf-of-plants-1350,1
11,54812/the-nonconformist,0
12,poem/villanelle-violin,0
13,43989/inscription-for-a-fountain-on-a-heath,1
14,44312/hard-luck-56d2235bb06cc,1
15,54612/the-chamber,0
16,45187/amoretti-lxviii-most-glorious-lord-of-life,1
17,poem/gitanjali-22,1
18,45270/stellas-birthday-march-13-1727,1
19,49581/trollius-and-trellises,1
0,poem/time-tyranny-49,0
1,poem/crown-0,0
2,44766/town-eclogues-saturday-the-small-pox,0
3,42126/another-lullaby-for-insomniacs,1
4,46280/vi-mon-august-1742-hath-xxxi-days,0
5,poem/haiku,0
6,poem/nightmare-kiss,0
7,poem/just-listen,0
8,poem/now-0,1
9,52401/no-i-wasnt-meant-to-love-and-be-loved,0
10,49589/valentine-56d22bd28689d,0
11,poem/city-visions,1
12,45010/the-house-of-life-22-hearts-haven,1
13,51974/yet-even-mid-merry-boyhoods-tricks-and-scapes,0
14,45739/paradise-lost-book-3-1674-version,1
15,53337/nests-in-elms,0
16,55035/last-hope,0
17,14404/recuerdo,1
18,poem/auld-lang-syne-0,0
19,poem/who-will-believe-my-verse-time-come-sonnet-17,1
0,52529/deaf-republic-11,0
1,48630/the-valley-of-unrest,1
2,poem/sin-self-love-possesseth-all-mine-eye-sonnet-62,1
3,poem/half-hearted-sonnet,0
4,45136/prometheus-unbound,1
5,58877/brownies-of-the-southwest-troop-704,0
6,43594/memorial-verses-april-1850,0
7,56829/the-african-burial-ground,0
8,44319/thanksgiving-56d2235de3a16,0
9,49647/ode-to-the-midwest,0
10,poem/while-waiting-bus,0
11,47973/stanzas-in-meditation-stanza-5,0
12,poem/dream-2,0
13,poem/how-can-my-muse-want-subject-invent-sonnet-38,1
14,poem/shame-deny-thou-bearst-love-any-sonnet-10,1
15,45114/the-waning-moon,1
16,44376/upon-parson-beanes,1
17,56228/in-a-hotel,0
18,46646/the-harpy,0
0,42916/jabberwocky,1
1,poem/so-it-not-me-muse-sonnet-21,1
2,42657/the-day-lady-died,1
3,28666/for-love,1
4,44157/idea-31-methinks-i-see-some-crooked-mimic-jeer,0
5,58357/bee,0
6,48188/sea-rose,1
7,47474/to-catullus,0
8,46681/an-african-elegy,0
9,poem/behind-word-silence,0
10,45303/a-sequence-of-sonnets-on-the-death-of-robert-browning,0
11,44484/to-autumn,1
12,54603/13-december,0
13,42543/cuba-1962,0
14,47177/seamans-ditty,0
15,poem/so-am-i-rich-whose-blessed-key-sonnet-52,1
16,44487/to-sleep-56d2239b832a2,1
17,45658/ah-silly-pug-wert-thou-so-sore-afraid,0
18,43807/highland-mary,1
0,45821/an-address-to-the-rev-george-gilfillan,1
1,47729/stone-gullets,0
2,48273/song-of-the-little-cripple-at-the-street-corner,0
3,57805/i-didnt-see-it,0
4,47342/when-he-would-have-his-verses-read,0
5,43876/an-elegy-upon-the-death-of-the-dean-of-pauls-dr-john-donne,0
6,54617/unravelling-shock,0
7,poem/moons-neptune,0
8,poem/o-what-power-hast-thou-powerful-might-sonnet-150,1
9,43653/the-chimney-sweeper-a-little-black-thing-among-the-snow,1
10,42224/magnificat,0
11,47333/a-thanksgiving-to-god-for-his-house,1
12,42716/falling-56d22155e5c45,0
13,poem/duplex,1
14,13417/magic-56d207ad115fc,0
15,45087/sonnet-18-shall-i-compare-thee-to-a-summers-day,1
16,149508/ode-to-dalyas-bald-spot,0
17,47273/the-soul-of-spain-with-mcalmon-and-bird-the-publishers,0
18,47496/i-maximus-of-gloucester-to-you,0
0,poem/sonnet-1,0
1,poem/challenge,0
2,58627/like-our-bodies-imprint,0
3,57607/the-house-was-quiet-and-the-world-was-calm,1
4,45525/it-is-not-to-be-thought-of,1
5,44304/ode-on-the-spring,1
6,42626/thoughts-in-a-zoo,0
7,45951/infant-sorrow,1
8,44708/modern-love-xxii,1
9,57325/sonnet-in-search-of-an-author,0
10,poem/alack-what-poverty-my-muse-brings-forth-sonnet-103,1
11,45430/the-retreat-56d2250b6cff5,1
12,143951/finishing-up,1
13,55544/postcard-2,0
14,55900/lincoln-56d237ea03b39,0
15,poem/elegy-clothes,0
16,40869/that-child,0
